㑇	亻 ⺈ 彐
膨	月 士 口 丷 1 彡
膳	月 羊 丷 1 口
膺	广 亻 亻 亠 龶 
膻	月 亠 囗 口 日 1
臀	尸 艹 1 八 殳 
臂	尸 口 辛 
臃	月 亠 6 6 3 亻 亠 龶
臆	月 立 日 心
臊	月 口 口 口 木
臌	月 士 口 丷 1 十 又
臑	月  而
臜	月  儿  儿 贝
臣	匚 2 5 1 2
臧	厂 6 1 3 匚 2 5 1 2 戈
自	自
臬	自 木
臭	自 犬
至	至
致	至 攵
臻	至 三 人 千 𠆢
臼	臼
臾	臼 人
舀	爫 臼
舁	臼 𠂇 2
舂	三 人 臼
舄	臼 3 5 灬
舅	臼 田 力
舆	㇒ 2 二 车 5 二 1 八
舌	千 口
舍	𠆢 干 口
舐	千 口 氏
舒	𠆢 干 口 予
舔	千 口 1 大 2 ㇏ ㇏ ㇏
舛	夕 1 6 2
舜	爫 冖 夕 1 6 2
舞	𠂉  2 1 夕 1 6 2
舟	舟
舠	舟 刀
舢	舟 山
舣	舟 ㇏ 乂
舥	舟 巴
航	舟 亠 几
舫	舟 方
般	舟 殳
舭	舟 比
舯	舟 口 2
舰	舟 见
舱	舟 𠆢 ⺋
舲	舟 𠆢 ㇏ 龴
舳	舟 日 2
舴	舟 𠂉 2 二
舵	舟 宀 匕
舶	舟 白
舷	舟 亠 6 厶
舸	舟 可
船	舟 几 口
舻	舟 2 1 尸
舾	舟 西
艄	舟 ⺌ 
艅	舟 𠆢 于 八
艇	舟 千 1 廴
艉	舟 尸 毛
艋	舟 子 皿
艎	舟 白 王
艏	舟 丷 1 自
艘	舟 臼 2 又
艚	舟 1 囗 艹 日
艟	舟 立 日 
艨	舟 艹 冖 1 豕
艮	彐 6 ㇒ ㇏
良	㇏ 彐 6 ㇒ ㇏
艰	又 彐 6 ㇒ ㇏
色	⺈ 巴
艳	丰 ⺈ 巴
艴	弓 3 2 ⺈ 巴
艺	艹 ㇈
艽	艹 3 ㇈
艾	艹 乂
艿	艹 5 3
节	艹 
芃	艹 几 ㇏
芄	艹 3 ㇈ ㇏
芈	2 1 2 1 𰀁
芊	艹 千
芋	艹 于
芍	艹 勺
芎	艹 5 丂
芏	艹 土
芑	艹 己
芒	艹 亠 6
芗	艹 6 6 3
芘	艹 比
芙	艹 夫
芜	艹 二 儿
芝	艹 ㇏ 5 4
芟	艹 殳
芠	艹 文
芡	艹 ⺈ 人
芣	艹 不
芤	艹 子 6
芥	艹 介
芦	艹 户
芨	艹 及
芩	艹 𠆢 ㇏ 5
芪	艹 氏
芫	艹 二 儿
芬	艹 八 刀
芭	艹 巴
芮	艹 冂 人
芯	艹 心
芰	艹 十 又
花	艹 亻 
芳	艹 方
芴	艹 勿
芷	艹 
芸	艹 二 厶
芹	艹 斤
芼	艹 毛
芽	艹 1 6 2 3
芾	艹 1 巾
苁	艹 人 人
苄	艹 亠 卜
苇	艹 韦
苈	艹 厂 力
苉	艹 匚 儿
苊	艹 厂 ⺋
苋	艹 见
苌	艹 长
苍	艹 𠆢 ⺋
苎	艹 宀 1
苏	艹 力 ㇏ ㇏
苑	艹 夕 ⺋
苒	艹 冂 
苓	艹 𠆢 ㇏ 龴
苔	艹 厶 口
苕	艹 刀 口
苗	艹 田
苘	艹 冂 口
苛	艹 可
苜	艹 目
苞	艹 3 5 巳
苟	艹 句
苠	艹 民
苡	艹 6 ㇏ 人
苣	艹 匚 5 1
苤	艹 1 亻 4 1
若	艹 𠂇 口
苦	艹 古
苧	艹 宀 丁
苫	艹 2 1 口
苯	艹 木 1
英	艹 2 5 大
苴	艹 且
苷	艹 甘
苹	艹 1 丷 十
苻	艹 付
苾	艹 ㇏ 6 ㇏ 八
茀	艹 5 1 5 3 2
茁	艹 出
茂	艹 厂 戈
范	艹 氵 ⺋
茄	艹 力 口
茅	艹 予 3
茆	艹 ㇒ 6 3 卩
茈	艹  匕
茉	艹 末
茋	艹 氏 ㇏
茌	艹 亻 士
茎	艹 5 ㇏ 工
茏	艹 𠂇  ㇏
茑	艹 鸟
茓	艹 宀 八
茔	艹 冖 土
茕	艹 冖 6 十
茗	艹 夕 口
茚	艹 ㇒ 6 1 卩
茛	艹 彐 6 ㇒ ㇏
茜	艹 西
茝	艹 匚 2 口 2
茧	艹 虫
茨	艹 冫 ⺈ 人
茫	艹 氵 亠 6
茬	艹 𠂇 2 土
茭	艹 亠 八 乂
茯	艹 亻 犬
茱	艹 牛 𠆢
茳	艹 氵 工
茴	艹 囗 口
茵	艹 囗 大
茶	艹 𠆢 1 小
茸	艹 耳
茹	艹 女 口
茺	艹 亠 厶 儿
茼	艹 冂 1 口
茽	艹 亻 口 2
荀	艹 3 5 日
荁	艹 1 日 1
荃	艹 𠆢 王
荄	艹 亠 6 3 人
荆	艹 1 𠂇 2 刂
荇	艹 彳 1 丁
草	艹 日 十
荏	艹 亻 千 1
荐	艹 𠂇 2 子
荑	艹 1 5 1 5 人
荒	艹 亠 6 
荓	艹 丷 1 𠂇 2
荔	艹 力 力 力
荖	艹 十 𠂇 匕
荙	艹 大 辶
荚	艹 1 丷 大
荛	艹 1 6 ㇒ 1 儿
荜	艹 1 6 匕 十
荞	艹 ㇒ 大 3 2
荟	艹 𠆢 二 厶
荠	艹 文 3 2
荡	艹 氵 𠃓
荣	艹 冖 木
荤	艹 冖 车
荥	艹 冖 水
荦	艹 冖 牛
荧	艹 冖 火
荨	艹 彐 寸
荩	艹 尸 ㇏ 4 4
荪	艹 子 小
荫	艹 阝 月
荬	艹 5 氵 人
荭	艹 纟 工
荮	艹 纟 寸
药	艹 纟 勺
荷	艹 亻 可
荸	艹 十 冖 子
荻	艹 犭 火
荼	艹 𠆢 于 八
荽	艹 爫 女
莅	艹 亻 立
莆	艹 甫
莉	艹 千 𠆢 刂
莎	艹 氵 2 八 3
莒	艹 口 口
莓	艹 𠂉 母
莘	艹 辛
莙	艹 5 二 3 口
莛	艹 千 1 廴
莜	艹 亻 2 攵
莝	艹 人 人 土
莞	艹 宀 二 儿
莠	艹 千 𠆢 5 3
莨	艹 ㇏ 彐 6 ㇒ ㇏
莩	艹 爫 子
莪	艹 ㇒ 扌 戈
莫	艹 日 大
莰	艹 土 ⺈ 人
莱	艹 1 米
莲	艹 车 辶
莳	艹 日 寸
莴	艹 口 冂 人
莶	艹 𠆢 1 ㇏ 丷 1
获	艹 犭 犬
莸	艹 犭 尤
莹	艹 冖 玉
莺	艹 冖 鸟
莼	艹 纟 1 6 2 6
莽	艹 犬 𠂇 2
莿	艹 1 巾 𠆢 刂
菀	艹 宀 夕 ⺋
菁	艹 龶 
菂	艹 白 勺
菅	艹 宀 
菇	艹 女 古
菉	艹  氺
菊	艹 3 5 米
菌	艹 囗 千 𠆢
菍	艹 𠆢 ㇏ 5 心
菏	艹 氵 可
菔	艹 月 卩 又
菖	艹 日 日
菘	艹 木 八 厶
菜	艹 爫 木
菝	艹 扌 𠂇 又 ㇏
菟	艹 ⺈ 口 儿 ㇏
菠	艹 氵 5 3 2 又
菡	艹 5 2 冫 ㇒ 4 6 2
菥	艹 木 斤
菩	艹 立 口
菪	艹 宀 石
菰	艹 子 ㇒ 3 6 ㇏ ㇏
菱	艹 土 八 夂
菲	艹  1 2 三
菹	艹 氵 且
菼	艹 火 火
菽	艹 2 二 小 又
萁	艹  八
萃	艹 亠 人 人 十
萄	艹 3 5 𠂉 1 山
萆	艹 白 3 十
萋	艹 1 5 二 2 女
萌	艹 日 月
萍	艹 氵 1 丷 十
萎	艹 千 𠆢 女
萏	艹 ⺈ 臼
萑	艹 亻 亠 龶
萘	艹 大 二 小
萚	艹 扌 又 𰀁
萜	艹 巾 2 1 口
萝	艹 罒 夕
萣	艹 宀 1 龰
萤	艹 冖 虫
营	艹 冖 口 口
萦	艹 冖 糸
萧	艹 5 𰀁 3 2 八
萨	艹 阝 立 3
萩	艹 千 𠆢 火
萱	艹 宀 1 日 1
萳	艹 十 冂 丷 干
萸	艹 臼 人
萹	艹 户 
萼	艹 口 口 二 5
落	艹 氵 各
葆	艹 亻 口 木
葎	艹 彳 5 三 十
葑	艹 土 土 寸
葖	艹 宀 八 犬
著	艹 十 𠂇 日
葙	艹 木 目
葚	艹  八 6
葛	艹 日 3 5 人 6
葜	艹 丰 刀 大
葡	艹 3 5 甫
董	艹 ㇒ 1 日 
葩	艹 白 巴
葫	艹 古 月
葬	艹 死 𠂇 2
葭	艹 5 1 2 二 5 1 又
葰	艹 亻 厶 八 夂
葱	艹 勿 4 心
葳	艹 厂 1 女 戈
葴	艹 厂 1 口 戈
葵	艹 5 ㇏ 3 3 ㇏ 1 大
葶	艹 亠 口 冖 丁
葸	艹 田 心
葺	艹 口 耳
蒂	艹 亠 丷 冖 巾
蒄	艹 冖 二 儿 寸
蒇	艹 厂 贝 戈
蒈	艹 1 6 匕 白
蒉	艹 口 2 1 贝
蒋	艹 丬 夕 寸
蒌	艹 米 女
蒎	艹 氵 ㇒ 3 ㇒ 戈
蒐	艹 鬼
蒗	艹 氵 ㇏ 彐 6 ㇒ ㇏
蒙	艹 冖 1 豕
蒜	艹 二 小 二 小
蒟	艹 立 句
蒡	艹 亠 丷 冖 方
蒨	艹 亻 龶 
蒯	艹 月 月 刂
蒱	艹 扌 甫
蒲	艹 氵 甫
蒴	艹 丷 1 6 2 3 月
蒸	艹 5 水 1 灬
蒹	艹 丷 1 5 1 艹 八
蒺	艹 疒 𠂉 大
蒻	艹 5 1 5 冫 5 1 5 冫
蒽	艹 囗 大 心
蒿	艹 高
蓁	艹 三 人 千 𠆢
蓂	艹 冖 日 亠 八
蓄	艹 亠 6 厶 田
蓇	艹 骨
蓉	艹 宀 谷
蓊	艹 八 厶 习 习
蓍	艹 十 𠂇 匕 日
蓏	艹 ㇒ 3 6 ㇏ ㇏ ㇒ 3 6 ㇏ ㇏
蓐	艹 厂 二 戈 寸
蓑	艹 亠 口 1 3 6 ㇒ ㇏
蓓	艹 亻 立 口
蓖	艹 3 囗 乂 比
蓝	艹 2 2 𠂉 ㇏ 皿
蓟	艹 鱼 刂
蓠	艹 亠 乂 6 2 冂 厶
蓢	艹 ㇏ 彐 6 ㇏ 月
蓣	艹 予 1 3 贝
蓥	艹 冖 𠆢 干 丷 1
蓦	艹 日 大 马
蓬	艹 夂 丰 辶
蓰	艹 彳  龰
蓼	艹 习 习 𠆢 彡
蓿	艹 宀 亻 1 白
蔀	艹 立 口 阝
蔃	艹 5 1 5 口 虫
蔈	艹 覀 二 小
蔊	艹 火 日 干
蔌	艹 束 ⺈ 人
蔑	艹 罒 厂 ㇏ 戈
蔓	艹 日 罒 又
蔗	艹 广 廿 灬
蔚	艹 尸 二 小 寸
蔟	艹 方 𠂉 𠂉 大
蔡	艹 夕 4 5 ㇏ 二 小
蔫	艹 1  1 5 灬
蔬	艹 5  亠 厶 
蔷	艹 十 丷 1 囗 口
蔸	艹 白 ㇒ 6 5 1 儿
蔹	艹 𠆢 1 ㇏ 丷 1 攵
蔺	艹 门 亻 亠 龶
蔻	艹 宀 二 儿 2 1 又
蔼	艹 讠 日 3 5 人 6
蔽	艹 丷 巾 八 攵
蕃	艹 ㇒ 米 田
蕈	艹 覀 日 十
蕉	艹 亻 亠 龶 灬
蕊	艹 心 心 心
蕖	艹 氵 匚 5 1 木
蕗	艹  各
蕙	艹 1 日 2 1 ㇏ 心
蕞	艹 日 耳 又
蕤	艹 豕 3 龶
蕨	艹 厂 丷 1 6 2 3 ⺈ 人
蕰	艹 氵 日 皿
蕲	艹 丷 日 十 斤
蕴	艹 纟 日 皿
蕹	艹 亠 6 6 3 亻 亠 龶
蕺	艹 口 耳 戈
蕻	艹 1 2 三 厶 艹 1 八
蕾	艹  田
薁	艹 3 冂 米 大
薄	艹 氵 甫 寸
薅	艹 女 厂 二 戈 寸
薇	艹 彳 山 1 几 攵
薏	艹 立 日 心
薛	艹 3  辛
薜	艹 尸 口 辛
薢	艹 ⺈ 用 刀 牛
薤	艹 歹  1 2 三 1
薨	艹 罒 冖 死
薪	艹 立 1 小 斤
薮	艹 米 女 攵
薯	艹 罒 十 𠂇 日
薰	艹 ㇒ 1 黑
薳	艹 土 口 3 2 ㇒ ㇏ 辶
薷	艹  而
薸	艹 氵 覀 二 小
薹	艹 士 口 冖 至
薿	艹 匕 𠂉 大 龴 5 龰
藁	艹 高 木
藉	艹 丰 𠆢 艹 1 日
藏	艹 厂 6 1 3 匚 2 5 1 2 戈
藐	艹 ㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 白 儿
藓	艹 鱼 羊
藕	艹 丰 𠆢 日 
藜	艹 千 𠆢 3 刀 𠆢 氺
藟	艹 田 田 田
藠	艹 白 白 白
藤	艹 月 丷 夫 氺
藦	艹 麻 手
藨	艹 广 5 2 2 1 1 6 匕 灬
藩	艹 氵 ㇒ 米 田
藻	艹 氵 口 口 口 木
藿	艹  亻 亠 龶
蘅	艹 彳 鱼 大 1 丁
蘑	艹 麻 石
蘖	艹 3  辛 木
蘘	艹 亠 口 口 1 艹 1 3 6 ㇒ ㇏
蘧	艹 2 1 5 3 七 豕 辶
蘩	艹 𠂉 6 5 亠 ㇏ 攵 糸
蘸	艹 西 1 亻 亠 龶 灬
蘼	艹 麻  1 2 三
虎	2 1 5 3 七 几
虏	2 1 5 3 七 力
虐	2 1 5 3 七 匚 1
虑	2 1 5 3 七 心
虒	㇒ 3 2 1 5 3 七 几
虓	3 ㇈ 2 1 5 3 七 几
虔	2 1 5 3 七 文
虚	2 1 5 3 七 2 ⺌ 1
虞	2 1 5 3 七 口 1 大
虢	爫 寸 2 1 5 3 七 几
虤	2 1 5 3 七 几 2 1 5 3 七 几
虫	虫
虬	虫 6
虮	虫 几
虱	6 ㇒ 虫
虷	虫 干
虸	虫 子
虹	虫 工
虺	1 儿 虫
虻	虫 亠 6
虼	虫 𠂉 ㇈
虽	口 虫
虾	虫 1 卜
虿	1 5 3 虫
蚀	⺈ 6 虫
蚁	虫 ㇏ 乂
蚂	虫 马
蚄	虫 方
蚆	虫 巴
蚊	虫 文
蚋	虫 冂 人
蚌	虫 丰
蚍	虫 比
蚓	虫 5 1 5 2
蚕	1 大 虫
蚜	虫 1 6 2 3
蚝	虫 毛
蚣	虫 八 厶
蚤	又 ㇏ 虫
蚧	虫 介
蚨	虫 夫
蚩	6 2 2 1 虫
蚪	虫 氵 2
蚬	虫 见
蚯	虫 ㇒ 2 工
蚰	虫 日 2
蚱	虫 𠂉 2 二
蚲	虫 1 丷 十
蚴	虫 6 厶 力
蚶	虫 甘
蚺	虫 冂 
蛀	虫 亠 土
蛃	虫 1 冂 人
蛄	虫 古
蛆	虫 且
蛇	虫 宀 匕
蛉	虫 𠆢 ㇏ 龴
蛊	虫 皿
蛋	5 2 1 3 4 虫
蛎	虫 厉
蛏	虫 又 土
蛐	虫 囗 艹
蛑	虫 厶 牛
蛔	虫 囗 口
蛘	虫 羊
蛙	虫 土 土
蛛	虫 牛 𠆢
蛞	虫 千 口
蛟	虫 亠 八 乂
蛤	虫 𠆢 1 口
蛩	工 几 ㇏ 虫
蛭	虫 至
蛮	亠 2 2 八 虫
蛰	扌 3 ㇈ ㇏ 虫
蛱	虫 1 丷 大
蛲	虫 1 6 ㇒ 1 儿
蛳	虫 2 3 1 巾
蛴	虫 文 3 2
蛸	虫 ⺌ 
蛹	虫 龴 
蛾	虫 ㇒ 扌 戈
蜀	罒 3 5 虫
蜂	虫 夂 丰
蜃	厂 二 6 ㇒ ㇏ 虫
蜇	扌 斤 虫
蜈	虫 口 1 大
蜉	虫 爫 子
蜊	虫 千 𠆢 刂
蜍	虫 𠆢 于 八
蜎	虫 口 
蜐	虫 土 厶 力
蜒	虫 ㇒ 2 1 6 廴
蜓	虫 千 1 廴
蜕	虫 丷 兄
蜗	虫 口 冂 人
蜘	虫 𠂉 大 口
蜚	 1 2 三 虫
蜜	宀 ㇏ 6 ㇏ 八 虫
蜞	虫  八
蜡	虫 艹 1 日
蜢	虫 子 皿
蜣	虫 丷 三 儿
蜥	虫 木 斤
蜩	虫  土 口
蜮	虫 戈 口 1
蜱	虫 白 3 十
蜴	虫 日 勿
蜷	虫 丷 夫 ⺋
蜻	虫 龶 
蜾	虫 日 木
蜿	虫 宀 夕 ⺋
蝇	虫 口 电
蝈	虫 囗 玉
蝉	虫 丷 日 十
蝌	虫 千 𠆢 氵 2
蝎	虫 日 3 5 人 6
蝓	虫 𠆢 1  刂
蝗	虫 白 王
蝘	虫 匚 日 女
蝙	虫 户 
蝠	虫 1 口 田
蝣	虫 方 𠂉 子
蝤	虫 丷 西 1
蝥	予 3 攵 虫
蝮	虫 𠂉 日 夂
蝰	虫 大 土 土
蝲	虫 束 刂
蝴	虫 古 月
蝶	虫 廿 6 木
蝻	虫 十 冂 丷 干
蝼	虫 米 女
蝽	虫 三 人 日
蝾	虫 艹 冖 木
螂	虫 ㇏ 彐 6 ㇏ 阝
螃	虫 亠 丷 冖 方
螅	虫 自 心
螈	虫 厂 白 小
螋	虫 臼 2 又
融	1 口 冂 丷 1 2 虫
螗	虫 广 5 𰀁 口
螟	虫 冖 日 亠 八
螠	虫 丷 1 八 皿
螣	月 丷 夫 虫
螨	虫 艹 1 冂 人 人
螫	土 3 小 攵 虫
螬	虫 1 囗 艹 日
螭	虫 亠 乂 6 2 冂 厶
螯	龶 5 3 攵 虫
螱	尸 二 小 寸 虫
螳	虫  口 土
螵	虫 覀 二 小
螺	虫 田 糸
螽	夂 4 4 虫 虫
蟀	虫 亠 6 厶 冫 ㇒ 4 十
蟆	虫 艹 日 大
蟊	予 3 虫 虫
蟋	虫 ㇒ 米 心
蟏	虫 艹 5 𰀁 3 2 八
蟑	虫 立 日 十
蟒	虫 艹 犬 𠂇 2
蟛	虫 士 口 丷 1 彡
蟠	虫 ㇒ 米 田
蟥	虫 艹 1 1 日 乂
蟪	虫 1 日 2 1 ㇏ 心
蟫	虫 覀 日 十
蟮	虫 羊 丷 1 口
蟹	⺈ 用 刀 牛 虫
蟾	虫 ⺈ 厂 八 言
蠃	亠 6 口 月 虫 几 ㇏
蠊	虫 广 丷 1 5 1 艹 八
蠋	虫 罒 3 5 虫
蠓	虫 艹 冖 1 豕
蠕	虫  而
蠖	虫 艹 亻 亠 龶 又
蠡	6 5 豕 虫 虫
蠢	三 人 日 虫 虫
蠲	丷 1 八 皿 罒 3 5 虫
蠹	1 口 2 冖 石 虫 虫
蠼	虫 目 目 亻 亠 龶 又
血	3 皿
衃	3 皿 不
衄	3 皿 5 
衅	3 皿 丷 𰀁
行	彳 1 丁
衍	彳 氵 1 丁
衎	彳 干 1 丁
衒	彳 亠 6 厶 1 丁
衔	彳 钅 1 丁
街	彳 土 土 1 丁
衙	彳 五 口 1 丁
衠	彳 真 1 丁
衡	彳 鱼 大 1 丁
衢	彳 目 目 亻 亠 龶 1 丁
衣	衣
补	衤 卜
表	龶 3 6 ㇒ ㇏
衩	衤 又 ㇏
衫	衤 彡
衬	衤 寸
衮	亠 八 厶 3 6 ㇒ ㇏
衰	亠 口 1 3 6 ㇒ ㇏
衲	衤 冂 人
衷	亠 口 2 3 6 ㇒ ㇏
衽	衤 千 1
衾	𠆢 ㇏ 5 衣
衿	衤 𠆢 ㇏ 5
袁	土 口 3 6 ㇒ ㇏
袂	衤 5 大
袄	衤 ㇒ 大
袅	 衣
袆	衤 韦
袈	力 口 衣
袋	亻 弋 衣
袍	衤 3 5 巳
袒	衤 日 1
袖	衤 日 2
袗	衤 𠆢 彡
袜	衤 末
袢	衤 丷 𰀁
袤	亠 予 3 3 6 ㇒ ㇏
袪	衤 土 厶
被	衤 5 3 2 又
袭	𠂇  ㇏ 衣
袯	衤 6 八 又
袱	衤 亻 犬
袷	衤 𠆢 1 口
袼	衤 各
裁	十 戈 衣
裂	歹 刂 衣
装	丬 士 衣
裆	衤 ⺌ 彐
裈	衤 冖 车
裉	衤 彐 6 ㇒ ㇏
裎	衤 口 王
裒	亠 臼 3 6 ㇒ ㇏
裔	衣 冂 八 口
裕	衤 谷
裘	1 2 冫 ㇒ 4 ㇏ 衣
裙	衤 5 二 3 口
裛	亠 口 巴 3 6 ㇒ ㇏
裟	氵 2 八 3 衣
裢	衤 车 辶
裣	衤 𠆢 1 ㇏ 丷 1
裤	衤 广 车
裥	衤 门 日
裨	衤 白 3 十
裰	衤 又 又 又 又
裱	衤 龶 3 6 ㇒ ㇏
裳	 口 衣
裴	 1 2 三 衣
裸	衤 日 木
裹	亠 日 木 3 6 ㇒ ㇏
裼	衤 日 勿
裾	衤 尸 古
褂	衤 土 土 卜
褊	衤 户 
褐	衤 日 3 5 人 6
褒	亠 亻 口 木 3 6 ㇒ ㇏
褓	衤 亻 口 木
褕	衤 𠆢 1  刂
褙	衤  匕 
褚	衤 十 𠂇 日
褛	衤 米 女
褟	衤 日 习 习
褡	衤 艹 𠆢 1 口
褥	衤 厂 二 戈 寸
褪	衤 彐 6 ㇒ ㇏ 辶
褫	衤 ㇒ 3 2 1 5 3 七 几
褯	衤 广 廿 巾
褰	宀 1 艹 1 八 衣
褴	衤 2 2 𠂉 ㇏ 皿
褶	衤 习 习 白
襁	衤 5 1 5 口 虫
襄	亠 口 口 1 艹 1 3 6 ㇒ ㇏
襕	衤 门 束 丷
襚	衤 丷 豕 辶
襜	衤 ⺈ 厂 八 言
襞	尸 口 辛 衣
襟	衤 木 木 二 小
襦	衤  而
襫	衤 𠂇 1 白 1 白 ㇏
襻	衤 木 乂 乂 木 大 手
西	西
要	覀 女
覃	覀 日 十
覆	覀 彳 𠂉 日 夂
见	见
观	又 见
觃	见 子
规	夫 见
觅	爫 见
视	礻 见
觇	2 1 口 见
览	2 2 𠂉 ㇏ 见
觉	 见
觊	山 己 见
觋	工 人 人 见
觌	十 5 氵 人 见
觎	𠆢 1  刂 见
觏	1 艹 1 冂  见
觐	廿 口 龶 见
觑	2 1 5 3 七 2 ⺌ 1 见
角	⺈ 用
觖	⺈ 用 5 大
觚	⺈ 用 ㇒ 3 6 ㇏ ㇏
觜	 匕 ⺈ 用
觞	⺈ 用 𠂉 𠃓
觟	⺈ 用 土 土
解	⺈ 用 刀 牛
觥	⺈ 用 ⺌ 1 儿
触	⺈ 用 虫
觫	⺈ 用 束
觭	⺈ 用 大 可
觯	⺈ 用 丷 日 十
觱	厂 1 口 戈 ⺈ 用
觳	士 冖 1 ⺈ 用 殳
觿	⺈ 用 山 亻 亠 龶 冂 八 口
言	言
訄	3 ㇈ 言
訇	勹 言
訚	门 言
訾	 匕 言
詈	罒 言
詟	𠂇  ㇏ 言
詹	⺈ 厂 八 言
誉	㇏ 丷 1 八 言
誊	丷 夫 言
誓	扌 斤 言
謇	宀 1 艹 1 八 言
警	艹 句 攵 言
譬	尸 口 辛 言
计	讠 十
订	讠 丁
讣	讠 卜
认	讠 人
讥	讠 几
讦	讠 干
讧	讠 工
讨	讠 寸
让	讠 2 二
讪	讠 山
讫	讠 𠂉 ㇈
训	讠 3 2 2
议	讠 ㇏ 乂
讯	讠 6 十
记	讠 己
讱	讠 刀 ㇏
讲	讠 二 3 2
讳	讠 韦
讴	讠 匚 乂
讵	讠 匚 5 1
讶	讠 1 6 2 3
讷	讠 冂 人
许	讠 𠂉 十
讹	讠 亻 
论	讠 𠆢 匕
讻	讠 乂 凵
讼	讠 八 厶
讽	讠  乂
设	讠 殳
访	讠 方
诀	讠 5 大
证	讠 1 
诂	讠 古
诃	讠 可
评	讠 1 丷 十
诅	讠 且
识	讠 口 八
诇	讠 冂 口
诈	讠 𠂉 2 二
诉	讠 斤 ㇏
诊	讠 𠆢 彡
诋	讠 氏 ㇏
诌	讠 ⺈ 彐
词	讠 5 1 口
诎	讠 出
诏	讠 刀 口
诐	讠 5 3 2 又
译	讠 又 𰀁
诒	讠 厶 口
诓	讠 匚 王
诔	讠 丰 𠆢
试	讠 弋 工
诖	讠 土 土
诗	讠 土 寸
诘	讠 士 口
诙	讠 𠂇 火
诚	讠 成
诛	讠 牛 𠆢
诜	讠  儿
话	讠 千 口
诞	讠 ㇒ 2 1 6 廴
诟	讠 ㇒ 𠂉 口
诠	讠 𠆢 王
诡	讠 ⺈ 厂 ⺋
询	讠 3 5 日
诣	讠 匕 日
诤	讠 ⺈ 5 二 2
该	讠 亠 6 3 人
详	讠 羊
诧	讠 宀 ㇒ 七
诨	讠 冖 车
诩	讠 习 习
诫	讠 戈 𠂇 2
诬	讠 工 人 人
语	讠 五 口
诮	讠 ⺌ 
误	讠 口 1 大
诰	讠  口
诱	讠 千 𠆢 5 3
诲	讠 𠂉 母
诳	讠 犭 王
说	讠 丷 兄
诵	讠 龴 
请	讠 龶 
诸	讠 十 𠂇 日
诹	讠 耳 又
诺	讠 艹 𠂇 口
读	讠 十 5 氵 人
诼	讠 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
诽	讠  1 2 三
课	讠 日 木
诿	讠 千 𠆢 女
谀	讠 臼 人
谁	讠 亻 亠 龶
谂	讠 𠆢 ㇏ 5 心
调	讠  土 口
谄	讠 ⺈ 臼
谅	讠 亠 口 小
谆	讠 亠 口 子
谇	讠 亠 人 人 十
谈	讠 火 火
谊	讠 宀 且
谋	讠 甘 木
谌	讠  八 6
谍	讠 廿 6 木
谎	讠 艹 亠 6 
谏	讠 束 丷
谐	讠 1 6 匕 白
谑	讠 2 1 5 3 七 匚 1
谒	讠 日 3 5 人 6
谓	讠 田 
谔	讠 口 口 二 5
谕	讠 𠆢 1  刂
谖	讠 爫 1 𠂇 又
谗	讠 ⺈ 口 儿 4 4
谙	讠 立 日
谚	讠 立 3 彡
谛	讠 亠 丷 冖 巾
谜	讠 米 辶
谝	讠 户 
谞	讠 5 2 1 3 4 
谟	讠 艹 日 大
谠	讠  口 儿
谡	讠 田 八 夂
谢	讠 3  1 ㇒ 寸
谣	讠 爫 𠂉 1 山
谤	讠 亠 丷 冖 方
谥	讠 丷 1 八 皿
谦	讠 丷 1 5 1 艹 八
谧	讠 ㇏ 6 ㇏ 八 皿
谨	讠 廿 口 龶
谩	讠 日 罒 又
谪	讠 亠 丷 冂 古
谫	讠 丷 1  刂 刀
谬	讠 习 习 𠆢 彡
谭	讠 覀 日 十
谮	讠 1 6 儿 1 6 儿 日
谯	讠 亻 亠 龶 灬
谰	讠 门 束 丷
谱	讠 丷 1 2 ⺌ 1 日
谲	讠 予 3 冂 八 口
谳	讠 十 冂 丷 干 犬
谴	讠 口 2 1  辶
谵	讠 ⺈ 厂 八 言
谶	讠 人 人 戈  1 2 三 1
谷	谷
谼	谷 艹 1 八
谿	爫 6 厶 大 谷
豁	宀 丰 口 谷
豆	1 口 丷 1
豇	1 口 丷 1 工
豉	1 口 丷 1 十 又
豌	1 口 丷 1 宀 夕 ⺋
豕	豕
豚	月 豕
象	象
豢	丷 夫 豕
豨	豕 乂 𠂇 巾
豪	亠 口 冖 豕
豫	予 象
豮	豕 十 艹 贝
豳	山 豕 豕
豸	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒
豹	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 勺
豺	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 1 2 3
貂	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 刀 口
貅	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 亻 木
貆	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 1 日 1
貉	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 各
貊	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 1 白
貌	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 白 儿
貔	㇒ ㇏ ㇏ ㇒ 5 ㇒ ㇒ 3 囗 乂 比
